model,lookback_h4,oos_start,oos_end,total_return,annualized_return,sharpe,max_drawdown,annualized_turnover,oos_observations
baseline,6,2019-05-27,2022-03-04,-0.20869316361985935,-0.07865831398543222,-1.8157736458139446,-0.23712802204090366,518.3999220494362,4320
persistence_gate,6,2019-05-27,2022-03-04,-0.13251710551479268,-0.048538275876143566,-1.7966799384865637,-0.14499981652624516,264.40961796121746,4320
baseline,12,2019-05-27,2022-03-04,-0.13954294102767106,-0.05124250311322254,-1.1353419793809822,-0.21282229446177314,368.1177552503935,4320
persistence_gate,12,2019-05-27,2022-03-04,-0.05768051002915864,-0.02057911455136041,-0.731010851786414,-0.1080189201320646,205.86533534593067,4320
baseline,30,2019-05-27,2022-03-04,-0.1815412262852374,-0.0677146000368366,-1.5078515991996637,-0.2190481748087455,243.94105935849964,4320
persistence_gate,30,2019-05-27,2022-03-04,-0.12879979076855108,-0.04711324606751166,-1.6522102397348755,-0.14159024989512758,161.10475569900035,4320
