regime,observations,start,end,net_total_return,net_sharpe,max_drawdown
spx_trailing_up,196,2024-01-30,2024-12-29,-0.029304554202111754,-0.6881359829512309,-0.058019023402348435
spx_trailing_down,41,2024-04-11,2024-12-30,-0.005052603300298775,-0.5497574675472727,-0.027060336356820147
