vix_quantile,loss_tail_probability,tail_observations,unconditional_high_vix_share,tail_high_vix_share,high_vix_enrichment
0.6,0.05,13,0.28294573643410853,0.5384615384615384,1.9030558482613276
0.6,0.1,26,0.28294573643410853,0.5769230769230769,2.0389884088514223
0.75,0.05,13,0.13953488372093023,0.3076923076923077,2.2051282051282053
0.75,0.1,26,0.13953488372093023,0.2692307692307692,1.9294871794871795
0.9,0.05,13,0.05426356589147287,0.23076923076923078,4.252747252747253
0.9,0.1,26,0.05426356589147287,0.23076923076923078,4.252747252747253
