model,lookback_days,rebalance_every_days,oos_start,oos_end,gross_total_return,net_total_return,net_annualized_return,net_sharpe,net_max_drawdown,annualized_turnover,cost_drag_log,oos_observations
continuous,5,1,2017-07-28,2019-12-23,0.311090556430065,0.19906089387474912,0.07909138020615036,0.9975822051305947,-0.08514230803229095,55.30503528582639,0.08932061473935067,601
sparse,5,5,2017-07-28,2019-12-23,0.08380304504335179,0.03702606284787291,0.015361349385539125,0.20213760306863057,-0.1144259427102502,27.36475035960978,0.04411913188384324,601
continuous,10,1,2017-07-28,2019-12-23,0.17691580311660382,0.10865873550696037,0.04420027835795981,0.5645922714996019,-0.08659355105124167,36.57589368258089,0.059746352264331934,601
sparse,10,10,2017-07-28,2019-12-23,0.03950967049480281,0.015390804501050459,0.00642477551697529,0.08430834716671898,-0.11085163686883548,13.957515340698396,0.023475563843805478,601
continuous,20,1,2017-07-28,2019-12-23,0.23138482995461018,0.1865218347155655,0.07434533415589795,0.9325261635907677,-0.10712267262266006,22.57520556037177,0.03711321472067521,601
sparse,20,20,2017-07-28,2019-12-23,0.10767604549666121,0.09548041546405184,0.03897778652436945,0.4688710597405672,-0.09187883050427126,6.464105815244372,0.011071165228043044,601
