regime,observations,start,end,total_return,annualized_mean,sharpe,max_drawdown
low_vix,251,2024-01-01,2024-12-29,-0.06852610003649007,-0.07126992586200764,-1.8820987213085842,-0.06776229783099652
high_vix,8,2024-08-05,2024-12-22,-0.0061438338954799,-0.1941277244776301,-4.453166011283224,-0.008865120314418218
