family,n,total_return,annualized_mean,sharpe,max_drawdown
commodity,1849.0,-0.03808144459262597,-0.08466435389561366,-5.095215276065012,-0.03895558740492977
equity,1800.0,-0.11278380621065653,-0.2680531625395227,-17.67533637939873,-0.11317396446711547
fx,1818.0,-0.09545392687285337,-0.22249640059647396,-8.84983461587149,-0.09572709944641666
