currency,asset,spot_orientation,observations,start,end,total_return,annualized_mean,sharpe,max_drawdown
AUD,AUDUSD,1.0,496,2024-01-31,2025-12-29,-0.07197043529547864,-0.037948196416880034,-0.9624294867475836,-0.1053923017907975
EUR,EURUSD,1.0,496,2024-01-31,2025-12-29,0.020635007144018225,0.010377212464221007,0.46253166556498987,-0.026696304685992933
GBP,GBPUSD,1.0,496,2024-01-31,2025-12-29,-0.023157786732217578,-0.011904023373618759,-0.6706244439120387,-0.04071644774329719
JPY,USDJPY,-1.0,496,2024-01-31,2025-12-29,0.13981879500847016,0.0664900465773602,1.5483284817392273,-0.027171812434497955
