cost_multiplier_vs_locked,observations,start,end,total_return,annualized_mean,sharpe,max_drawdown
0.0,259,2024-01-01,2024-12-29,-0.07303895681802985,-0.0737939081327932,-1.9459176072284197,-0.07268232914295114
1.0,259,2024-01-01,2024-12-29,-0.07424892095584079,-0.07506476134048246,-1.9761913773396476,-0.07348981142422673
2.0,259,2024-01-01,2024-12-29,-0.07545730572499798,-0.07633561454817171,-2.005772824728976,-0.07429659057252536
