model,lookback_h4,rebalance_every_h4,cost_pips,oos_start,oos_end,gross_total_return,net_total_return,net_annualized_return,net_sharpe,net_max_drawdown,annualized_turnover,breakeven_cost_pips
continuous,6,1,2.2,2019-05-27,2022-03-04,0.09087483625652926,-0.20869316361985935,-0.07865831398543222,-1.8157736458139446,-0.23712802204090366,518.3999220494362,0.5960326238394342
sparse,6,6,2.2,2019-05-27,2022-03-04,0.07494132474776105,-0.07393803287178513,-0.02652676156636191,-0.580855339236294,-0.16871097443141414,241.91694050406772,1.0664418637126831
continuous,12,1,2.2,2019-05-27,2022-03-04,0.08182956233183503,-0.13954294102767106,-0.05124250311322254,-1.1353419793809822,-0.21282229446177314,368.1177552503935,0.7558053757925661
sparse,12,12,2.2,2019-05-27,2022-03-04,-0.022023499617517817,-0.09503600010446756,-0.03434730685102649,-0.7413670066927985,-0.18893597976293985,124.6746347804421,-0.6314331846434899
continuous,30,1,2.2,2019-05-27,2022-03-04,-0.04735320627243156,-0.1815412262852374,-0.0677146000368366,-1.5078515991996637,-0.2190481748087455,243.94105935849964,-0.7029608916767578
sparse,30,30,2.2,2019-05-27,2022-03-04,0.021798148191795708,-0.010354304246376622,-0.0036362717383808807,-0.07975939846711412,-0.07985882097621233,51.84468214846509,1.4838094418501222
