offset_sessions,observations,start,end,total_return,annualized_mean,sharpe,max_drawdown
0,496,2024-01-31,2025-12-29,0.05461150584815799,0.0270150392510824,0.5726842130737783,-0.0637097794521917
5,491,2024-02-07,2025-12-29,-0.09737779631098809,-0.05258187460772441,-1.1883460755438078,-0.16029280195177298
10,486,2024-02-14,2025-12-29,0.015264524797831802,0.007855137683441522,0.17387325115467037,-0.08132523098861832
15,481,2024-02-21,2025-12-29,0.010958866465907935,0.00571021166746092,0.11791117743141089,-0.07170681054109496
