ticker,asset,family,p_tminus10,p_tplus20,p_tplus90,statement_return,press_return,cost_1x,economic,price_only,long
"EURUSD=X","EURUSD","fx",1.1401208639144897,1.1425960063934326,1.1454753875732422,0.0021685943457520774,0.0025168643840230653,0.0003500799913195803,1,1,1
"GBPUSD=X","GBPUSD","fx",1.3306896686553955,1.333031177520752,1.3358447551727295,0.0017580742154849824,0.0021084372336881894,0.0003000680004678833,1,1,1
"AUDUSD=X","AUDUSD","fx",0.6937218308448792,0.6954103112220764,0.6970584392547607,0.0024309871719172707,0.0023672040061914743,0.0005751999841605191,1,1,1
"NZDUSD=X","NZDUSD","fx",0.5779010653495789,0.5795086026191711,0.5811588168144226,0.0027778207626319705,0.002843562728770694,0.0006902399691603255,1,1,1
"JPY=X","USDJPY","fx",163.8040008544922,163.5540008544922,163.38800048828125,-0.0015273800994430088,-0.0010154729572457218,0.0002445675421635603,-1,-1,1
"CHF=X","USDCHF","fx",0.8196799755096436,0.8174200057983398,0.815060019493103,-0.002760944563824171,-0.0028912916699902706,0.0004893445195402782,-1,-1,1
"CAD=X","USDCAD","fx",1.409190058708191,1.4065799713134766,1.4036999940872192,-0.001853907183081059,-0.0020496023669637382,0.0002843777162747999,-1,-1,1
"GC=F","XAUUSD","metal",4105.2998046875,4130.7001953125,4143.7001953125,0.006168157153286062,0.0031422242295884627,9.68358828011576e-06,1,1,1
"SI=F","XAGUSD","metal",58.14500045776367,58.54499816894531,58.70500183105469,0.006855759406864318,0.002729275248288023,6.832351396539569e-05,1,1,1
"ES=F","SPXUSD","equity",7415.75,7425.5,7405.5,0.0013139056888951774,-0.002697055103972635,5.3868426368594714e-05,1,1,1
"NQ=F","NSXUSD","equity",27696.0,27764.5,27711.25,0.0024702278137553944,-0.0019197583215830457,1.4406886491743054e-05,1,1,1
"YM=F","DJIUSD","equity",52145.0,52114.0,52007.0,-0.0005946728994821873,-0.0020553017674890687,7.675480676977397e-06,1,-1,1
"RTY=F","RTYUSD","equity",2928.60009765625,2935.39990234375,2936.0,0.0023191704417660185,0.00020441382577260022,0.0001362676341579976,1,1,1
