Date,date_time,year,regime,scheduled,rate_contracts,rate_surprise,sp_future,product,valid,classification
1999-11-16,1999-11-16 14:15:00,1999,1994-2007,True,10,0.06825000000000182,-0.00352547153181738,-0.00024061343204654262,True,conventional
1999-12-21,1999-12-21 14:15:00,1999,1994-2007,True,10,0.015500000000002939,0.004678565239993069,7.251776121990632e-05,True,information
2000-02-02,2000-02-02 14:15:00,2000,1994-2007,True,10,-0.013249999999999299,-0.00246175487954985,3.261825215403379e-05,True,information
2000-03-21,2000-03-21 14:15:00,2000,1994-2007,True,10,-0.007500000000001679,0.001510320523577781,-1.1327403926835893e-05,True,conventional
2000-05-16,2000-05-16 14:15:00,2000,1994-2007,True,10,0.04437500000000082,-0.006779661016949152,-0.00030084745762712416,True,conventional
2000-06-28,2000-06-28 14:15:00,2000,1994-2007,True,10,-0.02399999999999946,0.0027008777852802163,-6.482106684672373e-05,True,conventional
2000-08-22,2000-08-22 14:15:00,2000,1994-2007,True,10,0.01624999999999941,-0.0016542597187758478,-2.688172043010655e-05,True,conventional
2000-10-03,2000-10-03 14:12:00,2000,1994-2007,True,10,0.02574999999999928,-0.002378121284185493,-6.123662306777472e-05,True,conventional
2000-11-15,2000-11-15 14:12:00,2000,1994-2007,True,10,0.004500000000000139,-0.006430868167202572,-2.893890675241247e-05,True,conventional
2000-12-19,2000-12-19 14:15:00,2000,1994-2007,True,10,0.01449999999999815,-0.00622938805423232,-9.032612678635712e-05,True,conventional
2001-01-03,2001-01-03 13:13:00,2001,1994-2007,False,10,-0.1549999999999983,0.04623386630706993,-0.007166249277595761,True,conventional
2001-01-31,2001-01-31 14:15:00,2001,1994-2007,True,10,0.0022499999999993797,-0.00487452608774147,-1.0967683697415284e-05,True,conventional
2001-03-20,2001-03-20 14:15:00,2001,1994-2007,True,10,-0.03650000000000372,-0.005889777029869584,0.0002149768615902617,True,information
2001-04-18,2001-04-18 10:54:00,2001,1994-2007,False,10,-0.4060000000000006,0.029351395730706078,-0.011916666666666685,True,conventional
2001-05-15,2001-05-15 14:15:00,2001,1994-2007,True,10,-0.1240000000000023,0.004799040191961607,-0.0005950809838032503,True,conventional
2001-06-27,2001-06-27 14:12:00,2001,1994-2007,True,10,0.06999999999999738,-0.004498057656920875,-0.0003148640359844495,True,conventional
2001-08-21,2001-08-21 14:15:00,2001,1994-2007,True,10,-0.03940000000000034,-0.01928374655647383,0.0007597796143250754,True,information
2001-09-17,2001-09-17 08:20:00,2001,1994-2007,False,10,-0.028000000000001506,,,False,unclassified
2001-10-02,2001-10-02 14:15:00,2001,1994-2007,True,10,-0.060250000000000595,-0.004068932503590234,0.000245153183341314,True,information
2001-11-06,2001-11-06 14:20:00,2001,1994-2007,True,10,-0.1487500000000011,0.006376679571851515,-0.0009485310863129199,True,conventional
2001-12-11,2001-12-11 14:15:00,2001,1994-2007,True,10,-0.04749999999999938,0.003057436121423891,-0.00014522821576763294,True,conventional
2002-01-30,2002-01-30 14:15:00,2002,1994-2007,True,10,0.02125000000000195,-0.00045547711227510797,-9.678888635846932e-06,True,conventional
2002-03-19,2002-03-19 14:15:00,2002,1994-2007,True,10,-0.047250000000001055,-0.003828972559029994,0.00018091895341417125,True,information
2002-05-07,2002-05-07 14:15:00,2002,1994-2007,True,10,-0.025249999999999752,-0.0030732860520094564,7.760047281323801e-05,True,information
2002-06-26,2002-06-26 14:15:00,2002,1994-2007,True,10,0.005749999999997579,-0.004685059864653826,-2.6939094221748158e-05,True,conventional
2002-08-13,2002-08-13 14:15:00,2002,1994-2007,True,10,-0.05425000000000037,-0.004675467546754675,0.00025364411441144286,True,information
2002-09-24,2002-09-24 14:15:00,2002,1994-2007,True,10,-0.0022500000000007896,-0.01056444310292786,2.3769996981596027e-05,True,information
2002-11-06,2002-11-06 14:15:00,2002,1994-2007,True,10,-0.09675000000000009,-0.006024096385542169,0.0005828313253012054,True,information
2002-12-10,2002-12-10 14:15:00,2002,1994-2007,True,10,0.00800000000000123,-0.0027723870252287217,-2.2179096201833184e-05,True,conventional
2003-01-29,2003-01-29 14:15:00,2003,1994-2007,True,10,0.026750000000002626,0.002040816326530612,5.459183673469923e-05,True,information
2003-03-18,2003-03-18 14:15:00,2003,1994-2007,True,10,0.0012499999999988699,-0.004486251808972503,-5.607814761210558e-06,True,conventional
2003-05-06,2003-05-06 14:15:00,2003,1994-2007,True,10,-0.04825000000000299,0.002137323002938819,-0.00010312583489180441,True,conventional
2003-06-25,2003-06-25 14:15:00,2003,1994-2007,True,10,0.10749999999999882,-0.001522842639593908,-0.0001637055837563433,True,conventional
2003-08-12,2003-08-12 14:15:00,2003,1994-2007,True,10,-0.01699999999999873,-0.000764720876879938,1.3000254906957976e-05,True,information
2003-09-16,2003-09-16 14:15:00,2003,1994-2007,True,10,-0.00099999999999908,-0.000978712992414974,9.787129924140737e-07,True,information
2003-10-28,2003-10-28 14:15:00,2003,1994-2007,True,10,-0.0427500000000023,0.0,-0.0,True,unclassified
2003-12-09,2003-12-09 14:15:00,2003,1994-2007,True,10,0.01324999999999647,-0.00117205813408345,-1.5529770276601573e-05,True,conventional
2004-01-28,2004-01-28 14:15:00,2004,1994-2007,True,10,0.06550000000000293,-0.009374318726836712,-0.0006140178766078321,True,conventional
2004-03-16,2004-03-16 14:15:00,2004,1994-2007,True,10,-0.031000000000000215,-0.000787933363349842,2.442593426384527e-05,True,information
2004-05-04,2004-05-04 14:15:00,2004,1994-2007,True,10,-0.0017500000000012297,0.0035890533871691336,-6.280843427550397e-06,True,conventional
2004-06-30,2004-06-30 14:15:00,2004,1994-2007,True,10,-0.02374999999999399,0.0028653295128939823,-6.805157593121486e-05,True,conventional
2004-08-10,2004-08-10 14:15:00,2004,1994-2007,True,10,0.038500000000000464,-0.003495688650664181,-0.0001345840130505726,True,conventional
2004-09-21,2004-09-21 14:15:00,2004,1994-2007,True,10,-0.00900000000000031,0.000221877080097625,-1.9968937208786937e-06,True,conventional
2004-11-10,2004-11-10 14:15:00,2004,1994-2007,True,10,-0.01349999999999906,0.001500857632933104,-2.026157804459549e-05,True,conventional
2004-12-14,2004-12-14 14:15:00,2004,1994-2007,True,10,-0.009000000000000301,-0.000208116545265348,1.8730489073881947e-06,True,information
2005-02-02,2005-02-02 14:15:00,2005,1994-2007,True,10,-0.0060000000000002,-0.000419375131054728,2.5162507863284518e-06,True,information
2005-03-22,2005-03-22 14:15:00,2005,1994-2007,True,10,0.03675000000000063,-0.003562447611064543,-0.0001309199497066242,True,conventional
2005-05-03,2005-05-03 14:15:00,2005,1994-2007,True,10,0.013750000000000252,0.003870967741935484,5.3225806451613875e-05,True,information
2005-06-30,2005-06-30 14:15:00,2005,1994-2007,True,10,0.030249999999996603,-0.004565262502593899,-0.00013809919070344995,True,conventional
2005-08-09,2005-08-09 14:15:00,2005,1994-2007,True,10,-0.014000000000000009,0.0022307848306631507,-3.123098762928413e-05,True,conventional
2005-09-20,2005-09-20 14:15:00,2005,1994-2007,True,10,0.02850000000000245,-0.001412429378531073,-4.025423728813904e-05,True,conventional
2005-11-01,2005-11-01 14:15:00,2005,1994-2007,True,10,0.006999999999997871,0.002280738129794733,1.5965166908558274e-05,True,information
2005-12-13,2005-12-13 14:15:00,2005,1994-2007,True,10,-0.016250000000005073,0.005547850208044383,-9.015256588074936e-05,True,conventional
2006-01-31,2006-01-31 14:15:00,2006,1994-2007,True,10,0.02249999999999796,-0.002528199144301828,-5.688448074678597e-05,True,conventional
2006-03-28,2006-03-28 14:15:00,2006,1994-2007,True,10,0.03350000000000216,-0.006277344493056876,-0.0002102910405174189,True,conventional
2006-05-10,2006-05-10 14:15:00,2006,1994-2007,True,10,0.037499999999999964,-0.001885369532428356,-7.070135746606329e-05,True,conventional
2006-06-29,2006-06-29 14:15:00,2006,1994-2007,True,10,-0.0375000000000028,0.005334914048606995,-0.00020005927682277726,True,conventional
2006-08-08,2006-08-08 14:15:00,2006,1994-2007,True,10,-0.03400000000000028,-0.002341006632852126,7.959422551697293e-05,True,information
2006-09-20,2006-09-20 14:15:00,2006,1994-2007,True,10,0.00874999999999912,-0.0028016436309301453,-2.4514381770636306e-05,True,conventional
2006-10-25,2006-10-25 14:15:00,2006,1994-2007,True,10,-0.0069999999999978595,-0.000722412858948889,5.056890012640677e-06,True,information
2006-12-12,2006-12-12 14:15:00,2006,1994-2007,True,10,-0.01674999999999894,0.0014199503017394391,-2.37841675541341e-05,True,conventional
2007-01-31,2007-01-31 14:15:00,2007,1994-2007,True,10,-0.00399999999999634,0.005578800557880056,-2.23152022314998e-05,True,conventional
2007-03-21,2007-03-21 14:15:00,2007,1994-2007,True,10,-0.04950000000000042,0.008419575513067884,-0.0004167689878968638,True,conventional
2007-05-09,2007-05-09 14:15:00,2007,1994-2007,True,10,0.02150000000000029,-0.001320567844172994,-2.8392208649719754e-05,True,conventional
2007-06-28,2007-06-28 14:15:00,2007,1994-2007,True,10,0.00700000000000355,-0.002625102543068088,-1.8375717801485937e-05,True,conventional
2007-08-07,2007-08-07 14:15:00,2007,1994-2007,True,10,-0.01074999999999873,-0.01081081081081081,0.00011621621621620247,True,information
2007-08-10,2007-08-10 09:15:00,2007,1994-2007,False,10,0.0029999999999972796,-0.000346440325653906,-1.0393209769607755e-06,True,conventional
2007-08-17,2007-08-17 08:00:00,2007,1994-2007,False,10,-0.03249999999999906,0.018384302633904902,-0.000597489835601892,True,conventional
2007-09-18,2007-09-18 14:15:00,2007,1994-2007,True,10,-0.15700000000000072,0.01378614660390047,-0.0021644250168123837,True,conventional
2007-10-31,2007-10-31 14:15:00,2007,1994-2007,True,10,0.040000000000000535,-0.003718073068218558,-0.0001487229227287443,True,conventional
2007-12-11,2007-12-11 14:15:00,2007,1994-2007,True,10,0.04375000000000281,-0.01805054151624549,-0.0007897111913357909,True,conventional
2008-01-22,2008-01-22 08:20:00,2008,2008-2019,False,10,-0.11549999999999867,0.014076130055511499,-0.0016257930214115595,True,conventional
2008-01-30,2008-01-30 14:15:00,2008,2008-2019,True,10,-0.10974999999999964,0.00827966881324747,-0.0009086936522539068,True,conventional
2008-03-11,2008-03-11 08:30:00,2008,2008-2019,False,10,0.08824999999999926,0.01813572542901716,0.0016004777691107509,True,information
2008-03-18,2008-03-18 14:15:00,2008,2008-2019,True,10,0.056000000000000216,-0.01047220106626047,-0.0005864432597105886,True,conventional
2008-04-30,2008-04-30 14:15:00,2008,2008-2019,True,10,-0.06075000000000156,0.001608291636883488,-9.77037169406744e-05,True,conventional
2008-06-25,2008-06-25 14:15:00,2008,2008-2019,True,10,-0.040499999999998655,0.000188288457917529,-7.625682545659671e-06,True,conventional
2008-08-05,2008-08-05 14:15:00,2008,2008-2019,True,10,-0.02824999999999983,0.0015726361313151169,-4.4426970709651784e-05,True,conventional
2008-09-16,2008-09-16 14:15:00,2008,2008-2019,True,10,0.10600000000000018,-0.000419287211740041,-4.444444444444442e-05,True,conventional
2008-10-08,2008-10-08 07:00:00,2008,2008-2019,False,10,-0.022750000000000593,0.025931520644511583,-0.0005899420946626539,True,conventional
2008-10-29,2008-10-29 14:17:00,2008,2008-2019,True,10,-0.043999999999998325,-0.013492063492063491,0.000593650793650771,True,information
2008-12-16,2008-12-16 14:11:00,2008,2008-2019,True,10,-0.20225000000000076,0.01415227851684121,-0.0028622983300311453,True,conventional
2009-01-28,2009-01-28 14:15:00,2009,2008-2019,True,10,-0.00300000000000153,-0.00230017251293847,6.900517538818929e-06,True,information
2009-03-18,2009-03-18 14:15:00,2009,2008-2019,True,10,-0.03174999999999948,0.01929260450160772,-0.000612540192926035,True,conventional
2009-04-29,2009-04-29 14:15:00,2009,2008-2019,True,10,0.00675000000000095,0.0060189165950128975,4.062768701634278e-05,True,information
2009-06-24,2009-06-24 14:15:00,2009,2008-2019,True,10,0.0195000000000007,-0.006923289947382997,-0.00013500415397397328,True,conventional
2009-08-12,2009-08-12 14:15:00,2009,2008-2019,True,10,-0.01249999999999998,-0.003231419338801889,4.039274173502355e-05,True,information
2009-09-23,2009-09-23 14:15:00,2009,2008-2019,True,10,-0.05100000000000049,0.005146198830409356,-0.0002624561403508797,True,conventional
2009-11-04,2009-11-04 14:15:00,2009,2008-2019,True,10,-0.01725000000000273,0.0,-0.0,True,unclassified
2009-12-16,2009-12-16 14:15:00,2009,2008-2019,True,10,-0.003250000000001289,-0.00044903457566232603,1.4593623709031385e-06,True,information
2010-01-27,2010-01-27 14:15:00,2010,2008-2019,True,10,0.0115000000000009,0.002077082852527117,2.3886452804063716e-05,True,information
2010-03-16,2010-03-16 14:15:00,2010,2008-2019,True,10,-0.02274999999999916,0.001733102253032929,-3.942807625649768e-05,True,conventional
2010-04-28,2010-04-28 14:15:00,2010,2008-2019,True,10,-0.00975000000000105,0.001684565171615077,-1.642451042324877e-05,True,conventional
2010-05-09,2010-05-09 21:15:00,2010,2008-2019,False,10,-0.01050000000000036,0.001989829759009507,-2.089321246960054e-05,True,conventional
