group,rows,valid,coverage,classified,conventional,information,conventional_share,median_product
1994-2007,112,83,0.7410714285714286,82,54,28,0.6585365853658537,-2.2247149216666494e-05
2008-2019,96,96,1.0,94,63,31,0.6702127659574468,-7.330582926392233e-06
2020-2026,53,53,1.0,53,31,22,0.5849056603773585,-3.7716872014067883e-06
