family,event_families,mean_difference_bps,mean_event_bps,mean_control_bps
fx,20,8.350481040667933,11.532249232466585,3.1817681917986516
metal,20,16.490066150181764,24.5858112685692,8.095745118387434
us_index,20,6.554431618226856,14.831468073914213,8.277036455687355
