event_id,release_timestamp_utc,year,families,assets,event_jump_bps,control_mean_bps,difference_bps
FOMC_2023_02_01,2023-02-01 19:00:00+00:00,2023,3,12,5.821637085625025,7.294322157937219,-1.4726850723121936
FOMC_2023_09_20,2023-09-20 18:00:00+00:00,2023,3,12,2.6107441352047953,4.03004859912866,-1.419304463923865
FOMC_2023_11_01,2023-11-01 18:00:00+00:00,2023,3,12,10.166529034818916,10.685360116845835,-0.5188310820269185
FOMC_2023_12_13,2023-12-13 19:00:00+00:00,2023,3,12,82.53595854788675,3.5767918582366423,78.95916668965009
FOMC_2024_01_31,2024-01-31 19:00:00+00:00,2024,3,12,11.8519303602832,8.091672366674194,3.7602579936090064
FOMC_2024_03_20,2024-03-20 18:00:00+00:00,2024,3,12,59.0852392229584,6.978976094710986,52.10626312824741
FOMC_2024_05_01,2024-05-01 18:00:00+00:00,2024,3,12,7.159339639984874,11.236140229879462,-4.076800589894589
FOMC_2024_06_12,2024-06-12 18:00:00+00:00,2024,3,12,3.3275517552904783,4.669996142709608,-1.3424443874191294
FOMC_2024_07_31,2024-07-31 18:00:00+00:00,2024,3,12,3.1996666748171556,5.076748453357741,-1.8770817785405856
FOMC_2024_09_18,2024-09-18 18:00:00+00:00,2024,3,12,3.2166312239028456,4.263082717607929,-1.046451493705084
FOMC_2024_11_07,2024-11-07 19:00:00+00:00,2024,3,10,8.24839798161045,6.392110758916328,1.8562872226941212
FOMC_2024_12_18,2024-12-18 19:00:00+00:00,2024,3,12,56.051830344107024,3.7009316028660932,52.35089874124093
FOMC_2025_01_29,2025-01-29 19:00:00+00:00,2025,3,12,22.86040895343844,5.074857013631983,17.785551939806457
FOMC_2025_03_19,2025-03-19 18:00:00+00:00,2025,3,12,16.198313643848945,5.0000143759498465,11.198299267899097
FOMC_2025_05_07,2025-05-07 18:00:00+00:00,2025,3,12,4.973671648193356,12.93560226844246,-7.961930620249103
FOMC_2025_06_18,2025-06-18 18:00:00+00:00,2025,3,12,2.2969910885922484,6.35684421662972,-4.059853128037472
FOMC_2025_07_30,2025-07-30 18:00:00+00:00,2025,3,12,3.098300702211398,4.104333175346,-1.006032473134603
FOMC_2025_09_17,2025-09-17 18:00:00+00:00,2025,3,12,2.8685316048593585,3.823116246686044,-0.9545846418266853
FOMC_2025_10_29,2025-10-29 18:00:00+00:00,2025,3,12,12.580611112191265,11.406097891786581,1.174513220404684
FOMC_2025_12_10,2025-12-10 19:00:00+00:00,2025,3,12,21.511239073175048,5.666618818479609,15.844620254695442
