year,events,mean_difference_bps,mean_event_bps,mean_control_bps
2023,4,18.88708651784678,25.28371720088387,6.396630683037089
2024,8,12.716366104529012,19.017573400369304,6.3012072958402925
2025,8,4.002572977444727,10.798508478313757,6.795935500869031
