event_id,release_timestamp_utc,year,family,assets,event_jump_bps,control_mean_bps,difference_bps
FOMC_2023_02_01,2023-02-01 19:00:00+00:00,2023,fx,8,9.134711003073283,3.0068821625678073,6.127828840505475
FOMC_2023_02_01,2023-02-01 19:00:00+00:00,2023,metal,2,5.687886567492631,11.982083106908473,-6.294196539415841
FOMC_2023_02_01,2023-02-01 19:00:00+00:00,2023,us_index,2,2.6423136863091603,6.894001204335375,-4.251687518026214
FOMC_2023_09_20,2023-09-20 18:00:00+00:00,2023,fx,8,3.486434864441715,1.993925158442833,1.4925097059988819
FOMC_2023_09_20,2023-09-20 18:00:00+00:00,2023,metal,2,0.7324646813703746,5.9538198636553465,-5.221355182284972
FOMC_2023_09_20,2023-09-20 18:00:00+00:00,2023,us_index,2,3.6133328598022967,4.142400775287801,-0.5290679154855049
FOMC_2023_11_01,2023-11-01 18:00:00+00:00,2023,fx,8,10.477398715231887,4.796983944323523,5.680414770908364
FOMC_2023_11_01,2023-11-01 18:00:00+00:00,2023,metal,2,9.707223374380648,10.672922291052146,-0.9656989166714989
FOMC_2023_11_01,2023-11-01 18:00:00+00:00,2023,us_index,2,10.314965014844217,16.58617411516184,-6.27120910031762
FOMC_2023_12_13,2023-12-13 19:00:00+00:00,2023,fx,8,49.88152896581308,2.531907456387366,47.34962150942572
FOMC_2023_12_13,2023-12-13 19:00:00+00:00,2023,metal,2,142.75755930820674,6.573976904177849,136.18358240402887
FOMC_2023_12_13,2023-12-13 19:00:00+00:00,2023,us_index,2,54.968787369640395,1.6244912141447112,53.344296155495684
FOMC_2024_01_31,2024-01-31 19:00:00+00:00,2024,fx,8,12.345775475854001,5.026757285423071,7.3190181904309295
FOMC_2024_01_31,2024-01-31 19:00:00+00:00,2024,metal,2,9.243781532921732,10.12290257360024,-0.8791210406785073
FOMC_2024_01_31,2024-01-31 19:00:00+00:00,2024,us_index,2,13.966234072073869,9.125357240999271,4.840876831074597
FOMC_2024_03_20,2024-03-20 18:00:00+00:00,2024,fx,8,22.01731752595258,3.0948509725703817,18.9224665533822
FOMC_2024_03_20,2024-03-20 18:00:00+00:00,2024,metal,2,97.17189983204089,12.524822273941217,84.64707755809967
FOMC_2024_03_20,2024-03-20 18:00:00+00:00,2024,us_index,2,58.066500310881736,5.3172550376213605,52.74924527326037
FOMC_2024_05_01,2024-05-01 18:00:00+00:00,2024,fx,8,1.878998474084719,4.605418718614448,-2.72642024452973
FOMC_2024_05_01,2024-05-01 18:00:00+00:00,2024,metal,2,16.269597363982086,15.713688775067993,0.5559085889140931
FOMC_2024_05_01,2024-05-01 18:00:00+00:00,2024,us_index,2,3.3294230818878163,13.389313195955946,-10.05989011406813
FOMC_2024_06_12,2024-06-12 18:00:00+00:00,2024,fx,8,2.546867655845257,2.5533084845018825,-0.006440828656625652
FOMC_2024_06_12,2024-06-12 18:00:00+00:00,2024,metal,2,1.1085660544201617,6.436059045211342,-5.327492990791181
FOMC_2024_06_12,2024-06-12 18:00:00+00:00,2024,us_index,2,6.327221555606016,5.020620898415598,1.3066006571904176
FOMC_2024_07_31,2024-07-31 18:00:00+00:00,2024,fx,8,1.466893987754085,2.1931356585865194,-0.7262416708324343
FOMC_2024_07_31,2024-07-31 18:00:00+00:00,2024,metal,2,2.0884876935649594,5.783853352782515,-3.695365659217556
FOMC_2024_07_31,2024-07-31 18:00:00+00:00,2024,us_index,2,6.043618343132422,7.2532563487041894,-1.2096380055717666
FOMC_2024_09_18,2024-09-18 18:00:00+00:00,2024,fx,8,2.505922490152847,1.6260024171591425,0.8799200729937047
FOMC_2024_09_18,2024-09-18 18:00:00+00:00,2024,metal,2,5.570910400724275,4.693311393657548,0.8775990070667268
FOMC_2024_09_18,2024-09-18 18:00:00+00:00,2024,us_index,2,1.5730607808314154,6.4699343420070985,-4.896873561175683
FOMC_2024_11_07,2024-11-07 19:00:00+00:00,2024,fx,6,12.658984070742143,4.020003872168571,8.63898019857357
FOMC_2024_11_07,2024-11-07 19:00:00+00:00,2024,metal,2,7.751576975479386,10.927899058469277,-3.1763220829898917
FOMC_2024_11_07,2024-11-07 19:00:00+00:00,2024,us_index,2,4.3346328986098195,4.228429346111134,0.10620355249868552
FOMC_2024_12_18,2024-12-18 19:00:00+00:00,2024,fx,8,46.32662467241141,2.248834589914226,44.07779008249719
FOMC_2024_12_18,2024-12-18 19:00:00+00:00,2024,metal,2,67.02799119114785,7.371294165359616,59.65669702578823
FOMC_2024_12_18,2024-12-18 19:00:00+00:00,2024,us_index,2,54.8008751687618,1.4826660533244373,53.31820911543736
FOMC_2025_01_29,2025-01-29 19:00:00+00:00,2025,fx,8,16.452205641040084,2.7631231548951924,13.689082486144892
FOMC_2025_01_29,2025-01-29 19:00:00+00:00,2025,metal,2,27.505332273880363,7.033987369799105,20.471344904081256
FOMC_2025_01_29,2025-01-29 19:00:00+00:00,2025,us_index,2,24.623688945394875,5.427460516201652,19.196228429193223
FOMC_2025_03_19,2025-03-19 18:00:00+00:00,2025,fx,8,15.043351811878352,2.8940792800189534,12.149272531859399
FOMC_2025_03_19,2025-03-19 18:00:00+00:00,2025,metal,2,26.898684364806186,2.804460418494573,24.094223946311615
FOMC_2025_03_19,2025-03-19 18:00:00+00:00,2025,us_index,2,6.652904754862293,9.301503429336012,-2.648598674473719
FOMC_2025_05_07,2025-05-07 18:00:00+00:00,2025,fx,8,2.634646552981208,3.7879919350191793,-1.1533453820379713
FOMC_2025_05_07,2025-05-07 18:00:00+00:00,2025,metal,2,4.089684539410593,7.312601868916529,-3.2229173295059357
FOMC_2025_05_07,2025-05-07 18:00:00+00:00,2025,us_index,2,8.196683852188269,27.706213001391674,-19.509529149203402
FOMC_2025_06_18,2025-06-18 18:00:00+00:00,2025,fx,8,1.4487608637157123,2.908280729041448,-1.459519865325736
FOMC_2025_06_18,2025-06-18 18:00:00+00:00,2025,metal,2,4.710980825912616,5.206750376527515,-0.4957695506148996
FOMC_2025_06_18,2025-06-18 18:00:00+00:00,2025,us_index,2,0.7312315761484167,10.955501544320196,-10.224269968171779
FOMC_2025_07_30,2025-07-30 18:00:00+00:00,2025,fx,8,3.6523688554324103,3.936285179105951,-0.28391632367354125
FOMC_2025_07_30,2025-07-30 18:00:00+00:00,2025,metal,2,1.422071641649927,3.6560898156149615,-2.234018173965034
FOMC_2025_07_30,2025-07-30 18:00:00+00:00,2025,us_index,2,4.2204616095518555,4.720624531317089,-0.5001629217652337
FOMC_2025_09_17,2025-09-17 18:00:00+00:00,2025,fx,8,1.5614597363896459,3.1930326136717047,-1.631572877282059
FOMC_2025_09_17,2025-09-17 18:00:00+00:00,2025,metal,2,4.271369893180605,3.3760979565381675,0.8952719366424369
FOMC_2025_09_17,2025-09-17 18:00:00+00:00,2025,us_index,2,2.7727651850078265,4.9002181698482605,-2.127452984840434
FOMC_2025_10_29,2025-10-29 18:00:00+00:00,2025,fx,8,5.61931129313428,3.979809236114855,1.6395020570194248
FOMC_2025_10_29,2025-10-29 18:00:00+00:00,2025,metal,2,24.553479263666986,14.88627625739218,9.667203006274807
FOMC_2025_10_29,2025-10-29 18:00:00+00:00,2025,us_index,2,7.569042779772529,15.352208181852708,-7.783165402080179
FOMC_2025_12_10,2025-12-10 19:00:00+00:00,2025,fx,8,9.50542199340297,2.4747509874459763,7.030671005956995
FOMC_2025_12_10,2025-12-10 19:00:00+00:00,2025,metal,2,33.14667759314498,8.88200550058208,24.264672092562904
FOMC_2025_12_10,2025-12-10 19:00:00+00:00,2025,us_index,2,21.8816176329772,5.643099967410771,16.23851766556643
