event_id,asset,weeks_before,control_release_utc,status,reason
FOMC_2023_02_01,USDCHF,7,2022-12-14 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDCHF,8,2022-12-07 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDCHF,9,2022-11-30 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDCHF,10,2022-11-23 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDCHF,11,2022-11-16 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDCHF,12,2022-11-09 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDCAD,1,2023-01-25 19:00:00+00:00,selected,
FOMC_2023_02_01,USDCAD,2,2023-01-18 19:00:00+00:00,selected,
FOMC_2023_02_01,USDCAD,3,2023-01-11 19:00:00+00:00,selected,
FOMC_2023_02_01,USDCAD,4,2023-01-04 19:00:00+00:00,selected,
FOMC_2023_02_01,USDCAD,5,2022-12-28 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDCAD,6,2022-12-21 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDCAD,7,2022-12-14 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDCAD,8,2022-12-07 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDCAD,9,2022-11-30 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDCAD,10,2022-11-23 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDCAD,11,2022-11-16 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,USDCAD,12,2022-11-09 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,EURJPY,1,2023-01-25 19:00:00+00:00,selected,
FOMC_2023_02_01,EURJPY,2,2023-01-18 19:00:00+00:00,selected,
FOMC_2023_02_01,EURJPY,3,2023-01-11 19:00:00+00:00,selected,
FOMC_2023_02_01,EURJPY,4,2023-01-04 19:00:00+00:00,selected,
FOMC_2023_02_01,EURJPY,5,2022-12-28 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,EURJPY,6,2022-12-21 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,EURJPY,7,2022-12-14 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,EURJPY,8,2022-12-07 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,EURJPY,9,2022-11-30 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,EURJPY,10,2022-11-23 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,EURJPY,11,2022-11-16 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,EURJPY,12,2022-11-09 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,XAUUSD,1,2023-01-25 19:00:00+00:00,selected,
FOMC_2023_02_01,XAUUSD,2,2023-01-18 19:00:00+00:00,selected,
FOMC_2023_02_01,XAUUSD,3,2023-01-11 19:00:00+00:00,selected,
FOMC_2023_02_01,XAUUSD,4,2023-01-04 19:00:00+00:00,selected,
FOMC_2023_02_01,XAUUSD,5,2022-12-28 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,XAUUSD,6,2022-12-21 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,XAUUSD,7,2022-12-14 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,XAUUSD,8,2022-12-07 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,XAUUSD,9,2022-11-30 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,XAUUSD,10,2022-11-23 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,XAUUSD,11,2022-11-16 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,XAUUSD,12,2022-11-09 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,XAGUSD,1,2023-01-25 19:00:00+00:00,selected,
FOMC_2023_02_01,XAGUSD,2,2023-01-18 19:00:00+00:00,selected,
FOMC_2023_02_01,XAGUSD,3,2023-01-11 19:00:00+00:00,selected,
FOMC_2023_02_01,XAGUSD,4,2023-01-04 19:00:00+00:00,selected,
FOMC_2023_02_01,XAGUSD,5,2022-12-28 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,XAGUSD,6,2022-12-21 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,XAGUSD,7,2022-12-14 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,XAGUSD,8,2022-12-07 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,XAGUSD,9,2022-11-30 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,XAGUSD,10,2022-11-23 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,XAGUSD,11,2022-11-16 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,XAGUSD,12,2022-11-09 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,SPXUSD,1,2023-01-25 19:00:00+00:00,selected,
FOMC_2023_02_01,SPXUSD,2,2023-01-18 19:00:00+00:00,selected,
FOMC_2023_02_01,SPXUSD,3,2023-01-11 19:00:00+00:00,selected,
FOMC_2023_02_01,SPXUSD,4,2023-01-04 19:00:00+00:00,selected,
FOMC_2023_02_01,SPXUSD,5,2022-12-28 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,SPXUSD,6,2022-12-21 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,SPXUSD,7,2022-12-14 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,SPXUSD,8,2022-12-07 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,SPXUSD,9,2022-11-30 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,SPXUSD,10,2022-11-23 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,SPXUSD,11,2022-11-16 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,SPXUSD,12,2022-11-09 19:00:00+00:00,rejected,missing exact quote boundary
FOMC_2023_02_01,NSXUSD,1,2023-01-25 19:00:00+00:00,selected,
FOMC_2023_02_01,NSXUSD,2,2023-01-18 19:00:00+00:00,selected,
FOMC_2023_02_01,NSXUSD,3,2023-01-11 19:00:00+00:00,selected,
