year,events,mean_event_bps,mean_control_bps,mean_excess_bps
2023,11,36.59709375738647,19.491204506118486,17.10588925126798
2024,24,41.023740205805204,18.938060754121103,22.0856794516841
2025,22,30.93460913737672,16.844610188649373,14.08999894872735
