event_id,actual_bps,price_only_pred_bps,economic_pred_bps,ridge_pred_bps
bls_cpi_2024-01-11,52.4899054538143,25.095930875292858,36.455781548768336,42.613628598548566
bls_employment_2024-02-02,76.67518601285681,19.055308232425055,33.268976841305594,35.110218811935304
bls_cpi_2024-02-13,89.17916947058936,15.428942101098478,38.746370678060615,35.906721441785585
bls_employment_2024-03-08,16.449516830932247,16.973418342646745,39.46986386581291,41.79974678292037
bls_cpi_2024-03-12,16.497039695192505,14.154982445456657,45.050470527126706,44.94238361007043
bls_employment_2024-04-05,20.720366637142313,14.093625630932927,36.59232048645282,30.93680436203547
bls_cpi_2024-04-10,69.73848405766745,15.99307544109535,41.87786710135624,39.22619890298898
bls_employment_2024-05-03,47.82461280253311,19.43231306284589,34.82877005875165,36.690839490505475
bls_cpi_2024-05-15,32.00816055379522,17.504185360874825,44.663928796987356,48.8480011479967
bls_employment_2024-06-07,62.28629183675121,30.317456091753407,36.1283543331298,48.346207697106436
bls_cpi_2024-06-12,83.594872772321,13.832574596228211,43.51340441124262,45.17559264224338
bls_employment_2024-07-05,12.13895392772006,24.49252266481784,38.50634865164084,50.1829441734172
bls_cpi_2024-07-11,73.38569494868412,18.241896139844496,46.853526774665816,52.5862597860197
bls_employment_2024-08-02,58.18163829019468,15.982181380683173,36.309065757980775,24.66091986741668
bls_cpi_2024-08-14,12.942890745861812,11.476884516920496,48.89446278805183,39.44114092053433
bls_employment_2024-09-06,34.78604754193842,22.940993175138345,37.99157133738184,29.082265160612863
bls_cpi_2024-09-11,31.730441195092293,10.131734463764435,46.326493356466834,29.721910299286066
bls_employment_2024-10-04,62.2833358583408,21.013838383282454,37.76260535199303,29.444373829820353
bls_cpi_2024-10-10,23.952724646034774,25.910873923813597,45.353423212375205,32.868953334700905
bls_employment_2024-11-01,11.742763155664484,21.38746624593877,39.397320719082884,34.40843059097609
bls_cpi_2024-11-13,32.06956862790213,22.796453103303833,44.01587955197893,47.02653881653575
bls_employment_2024-12-06,24.579026629168162,17.703203287712196,37.66891087136923,41.73166679873943
bls_cpi_2024-12-11,23.53255423993528,19.688479791487886,43.313155379974404,47.00964696461501
bls_employment_2025-01-10,32.1682884258338,18.338352991751407,36.89891768065152,34.48775389406253
bls_cpi_2025-01-15,62.9977610170874,11.01148017078399,42.21423309441668,30.927652342311973
bls_employment_2025-02-07,11.497111495752572,11.522582668107464,36.63610494427276,38.97982177024032
bls_cpi_2025-02-12,43.719893073564144,13.233849789078622,43.30810298508356,41.32415828539386
bls_employment_2025-03-07,12.603809600997389,14.367753387385335,35.31300002592959,26.061960790669417
bls_cpi_2025-03-12,17.224876938731235,17.35935404645137,43.32869248950759,13.782060080171645
bls_employment_2025-04-04,43.02808279474446,21.391218592393074,34.17754050468298,16.442958766456943
bls_cpi_2025-04-10,29.58768564519194,21.85335914474001,42.08565365375633,4.268417920592849
bls_employment_2025-05-02,40.30132477127757,20.366314463226363,34.59899489944782,31.32009303610586
bls_cpi_2025-05-13,14.226656378313836,15.598087707128409,41.51756419882159,38.2108595332931
bls_employment_2025-06-06,23.01458247624212,14.554026032106208,34.85819171180371,32.802739111339974
bls_cpi_2025-06-11,25.984176387428732,20.4720446982735,40.33100298923429,41.286585181267704
bls_employment_2025-07-03,34.586338262965135,21.507500617866572,34.34325217982278,36.014866598603035
bls_cpi_2025-07-15,9.730348324622927,18.927078696784108,39.7332185474924,39.51795339954558
bls_employment_2025-08-01,66.76460731593403,14.431810454692215,34.35338076662037,33.13275099532984
bls_cpi_2025-08-12,27.29781592940871,10.838428884282882,38.53310373857762,37.92094606046395
bls_employment_2025-09-05,61.305302716866834,12.996930427463958,35.649829828592914,35.1074340481069
bls_cpi_2025-09-11,21.090819713874986,18.640985072776484,38.100977284378814,40.6212112698289
bls_cpi_2025-10-24,28.003364121326733,19.719800405306785,37.47097144843423,36.93292983551093
bls_employment_2025-11-20,17.890283382110933,20.441565812729834,36.63657878583422,33.66905543899703
bls_employment_2025-12-16,28.142748149016953,16.609360816549515,35.942271548659285,36.62867770625004
bls_cpi_2025-12-18,29.395524100995416,16.39953927040807,37.13284261532324,35.713287622646895
