events,round_trips,trade_legs,net_return,mean_event_log_return,positive_events,bootstrap_p_mean_positive,bootstrap_ci95_mean,cost_multiplier
18,265,530,3.370138500452567e-05,1.872267618089383e-06,7,0.49,"[-0.00027789801499708056, 0.0003037036160945614]",0.0
18,265,530,-0.004789531417089465,-0.0002667243321155083,5,0.04,"[-0.0005450651782456972, 3.4090337183460366e-05]",1.0
18,265,530,-0.009589501428508524,-0.0005353209318491058,3,0.0003,"[-0.0008127298363431052, -0.0002371708797695001]",2.0
18,265,530,-0.019120101330477944,-0.0010725141313163013,1,0.0,"[-0.0013468878465611816, -0.0007784348367508481]",4.0
