events,round_trips,trade_legs,net_return,mean_event_log_return,positive_events,bootstrap_p_mean_positive,bootstrap_ci95_mean,cost_multiplier
18,265,530,-3.370024925945063e-05,-1.872267618089383e-06,11,0.51,"[-0.0003037036160945615, 0.0002778980149970805]",0.0
18,265,530,-0.004856607968535885,-0.00027046886735168705,7,0.0304,"[-0.0005736407371423669, 1.0117718242511718e-05]",1.0
18,265,530,-0.00965625446503466,-0.0005390654670852848,3,0.0,"[-0.0008439418637598751, -0.00025620797432284327]",2.0
18,265,530,-0.019186212010643473,-0.0010762586665524804,0,0.0,"[-0.0013849704017032992, -0.0007899516879391824]",4.0
