events,round_trips,trade_legs,net_return,mean_event_log_return,positive_events,bootstrap_p_mean_positive,bootstrap_ci95_mean,cost_multiplier
18,267,534,-0.0013119967531936758,-7.293656524838439e-05,8,0.2238,"[-0.0002611264115527766, 9.238929180726876e-05]",0.0
18,267,534,-0.0067333643285662,-0.0003753408723531826,2,0.0,"[-0.0005657488816603821, -0.00020735992375190475]",1.0
18,267,534,-0.012125302065699202,-0.0006777451794579806,0,0.0,"[-0.0008709306847565914, -0.0005073228004099114]",2.0
18,267,534,-0.022821526196292744,-0.001282553793667577,0,0.0,"[-0.0014815570418442862, -0.0011057982602201565]",4.0
