events,round_trips,trade_legs,net_return,mean_event_log_return,positive_events,bootstrap_p_mean_positive,bootstrap_ci95_mean,cost_multiplier
18,265,530,-0.0008028027745429166,-4.461806629227594e-05,7,0.3189,"[-0.00023076735277690585, 0.0001650313942863039]",0.0
18,265,530,-0.006198730467986637,-0.0003454456868064268,2,0.0005,"[-0.0005301424932321347, -0.00013652611383319757]",1.0
18,265,530,-0.011565518732543125,-0.0006462733073205776,2,0.0,"[-0.0008303063122394967, -0.0004382495884411154]",2.0
18,265,530,-0.022212305567529136,-0.0012479285483488793,1,0.0,"[-0.001430379110419899, -0.00104262773976953]",4.0
